2024-08-28 19:04:42.701 | INFO     | __main__:main:11 - Initializing the literature search
2024-08-28 19:04:42.701 | DEBUG    | src.file_handling:load_src_file:10 - Loading source file
2024-08-28 19:04:42.766 | INFO     | __main__:main:17 - Starting literature search
2024-08-28 19:04:42.767 | INFO     | __main__:main:20 - Processing journal Econometrica, Econometric Society
2024-08-28 19:04:45.204 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Incentives to exercise
2024-08-28 19:04:45.716 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Gift exchange in the field
2024-08-28 19:04:46.109 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Ideology and performance in public organizations
2024-08-28 19:04:46.414 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for The economics of labor coercion
2024-08-28 19:04:47.376 | INFO     | src.scholar:search_google_scholar:133 - Found 4 results for journal Econometrica
2024-08-28 19:04:47.378 | INFO     | __main__:main:20 - Processing journal American Economic Review, American Economic Association
2024-08-28 19:04:49.148 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Doing good or doing well? Image motivation and monetary incentives in behaving prosocially
2024-08-28 19:04:50.769 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Information and quality when motivation is intrinsic: Evidence from surgeon report cards
2024-08-28 19:04:51.884 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Trust as a signal of a social norm and the hidden costs of incentive schemes
2024-08-28 19:04:52.576 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Incentives and prosocial behavior
2024-08-28 19:04:53.382 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for American Economic Association
2024-08-28 19:04:55.757 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Happiness and time preference: The effect of positive affect in a random-assignment experiment
2024-08-28 19:04:59.333 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for The hidden costs of control
2024-08-28 19:05:00.004 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Incentives work: Getting teachers to come to school
2024-08-28 19:05:01.569 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Recruitment, effort, and retention effects of performance contracts for civil servants: Experimental evidence from Rwandan primary schools
2024-08-28 19:05:02.120 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Performance pay and productivity
2024-08-28 19:05:15.664 | INFO     | __main__:main:11 - Initializing the literature search
2024-08-28 19:05:15.665 | DEBUG    | src.file_handling:load_src_file:10 - Loading source file
2024-08-28 19:05:15.752 | INFO     | __main__:main:17 - Starting literature search
2024-08-28 19:05:15.753 | INFO     | __main__:main:20 - Processing journal Econometrica, Econometric Society
2024-08-28 19:05:17.971 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Incentives to exercise
2024-08-28 19:05:18.580 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Gift exchange in the field
2024-08-28 19:05:19.012 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Ideology and performance in public organizations
2024-08-28 19:05:19.313 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for The economics of labor coercion
2024-08-28 19:05:20.018 | INFO     | src.scholar:search_google_scholar:133 - Found 4 results for journal Econometrica
2024-08-28 19:05:20.020 | INFO     | __main__:main:20 - Processing journal American Economic Review, American Economic Association
2024-08-28 19:05:21.652 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Doing good or doing well? Image motivation and monetary incentives in behaving prosocially
2024-08-28 19:05:25.003 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Information and quality when motivation is intrinsic: Evidence from surgeon report cards
2024-08-28 19:05:25.996 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Trust as a signal of a social norm and the hidden costs of incentive schemes
2024-08-28 19:05:26.556 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Incentives and prosocial behavior
2024-08-28 19:05:27.247 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for American Economic Association
2024-08-28 19:05:29.140 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Happiness and time preference: The effect of positive affect in a random-assignment experiment
2024-08-28 19:05:31.171 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for The hidden costs of control
2024-08-28 19:05:31.723 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Incentives work: Getting teachers to come to school
2024-08-28 19:05:33.142 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Recruitment, effort, and retention effects of performance contracts for civil servants: Experimental evidence from Rwandan primary schools
2024-08-28 19:05:33.684 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Performance pay and productivity
2024-08-28 19:05:36.572 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for The effects of high stakes high school achievement awards: Evidence from a randomized trial
2024-08-28 19:05:37.801 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Is a donor in hand better than two in the bush? Evidence from a natural field experiment
2024-08-28 19:05:38.759 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Screening, competition, and job design: Economic origins of good jobs
2024-08-28 19:05:39.453 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Alcohol and self-control: A field experiment in India
2024-08-28 19:05:40.951 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Preferences for truthfulness: Heterogeneity among and within individuals
2024-08-28 19:05:42.046 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for American Economic Association
2024-08-28 19:05:45.379 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for A/b contracts
2024-08-28 19:05:47.201 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Persistent overconfidence and biased memory: Evidence from managers
2024-08-28 19:05:48.667 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Law and norms: Empirical evidence
2024-08-28 19:05:52.618 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Anatomy of a contract change
2024-08-28 19:05:54.802 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Applicant screening and performance-related outcomes
2024-08-28 19:05:55.547 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Does corruption affect cooperation? A laboratory experiment
2024-08-28 19:05:56.411 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Applications of option-pricing theory: twenty-five years later
2024-08-28 19:06:07.367 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Pride and prejudice: The human side of incentive theory
2024-08-28 19:06:07.930 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Information and the Change in the Paradigm in Economics
2024-08-28 19:06:12.565 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for The rise of noncommunicable diseases in Latin America and the Caribbean: challenges for public health policies
2024-08-28 19:06:13.584 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for The productivity of Colombian public schools and its determinants from a value-added perspective, 2014–2019
2024-08-28 19:06:15.462 | INFO     | src.scholar:search_google_scholar:133 - Found 28 results for journal American Economic Review
2024-08-28 19:06:15.465 | INFO     | __main__:main:20 - Processing journal The Quarterly Journal of Economics, Oxford University Press
2024-08-28 19:06:18.173 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for RANDOMIZING RELIGION: THE IMPACT OF PROTESTANT EVANGELISM ON ECONOMIC OUTCOMES GHARAD BRYAN JAMES J. CHOI
2024-08-28 19:06:20.867 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for BUILDING RESILIENT HEALTH SYSTEMS: EXPERIMENTAL EVIDENCE FROM SIERRA LEONE AND THE 2014 EBOLA OUTBREAK DARIN CHRISTENSEN
2024-08-28 19:06:21.775 | INFO     | src.scholar:search_google_scholar:133 - Found 2 results for journal The Quarterly Journal of Economics
2024-08-28 19:06:21.777 | INFO     | __main__:main:20 - Processing journal Journal of Political Economy, University of Chicago Press
2024-08-28 19:06:23.657 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Moral incentives in credit card debt repayment: Evidence from a field experiment
2024-08-28 19:06:24.733 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Confronting objections to performance pay: the impact of individual and gain‐sharing incentives on job satisfaction
2024-08-28 19:06:25.730 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Behavioral political economy: A survey
2024-08-28 19:06:26.412 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Physician incentives in health maintenance organizations
2024-08-28 19:06:26.735 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Self-control at work
2024-08-28 19:06:27.333 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Wage rigidity in a competitive incomplete contract market
2024-08-28 19:06:27.626 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for The old lady visits your backyard: A tale of morals and markets
2024-08-28 19:06:27.930 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for The Effect of Incentives in Nonroutine Analytical Team Tasks
2024-08-28 19:06:28.517 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for What do employee referral programs do? Measuring the direct and overall effects of a management practice
2024-08-28 19:06:31.641 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Experimental tests of rational inattention
2024-08-28 19:06:31.927 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Caring or pretending to care? social impact, firms' objectives, and welfare
2024-08-28 19:06:33.078 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Willpower and personal rules
2024-08-28 19:06:33.391 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Incentive contracts versus trust in three-person ultimatum games: an experimental study
2024-08-28 19:06:34.408 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Wage Rigidity in a Competitive lncomplete
2024-08-28 19:06:34.861 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Efficiency and justice revisited
2024-08-28 19:06:35.153 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Behavioral economics of corruption and its implications
2024-08-28 19:06:37.440 | INFO     | src.scholar:search_google_scholar:133 - Found 20 results for journal Journal of Political Economy
2024-08-28 19:06:37.442 | INFO     | __main__:main:20 - Processing journal Journal of Economic Literature, American Economic Association
2024-08-28 19:06:39.575 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Economic incentives and social preferences: substitutes or complements?
2024-08-28 19:06:41.403 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Interdependent preferences and reciprocity
2024-08-28 19:06:42.793 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Endogenous preferences: The cultural consequences of markets and other economic institutions
2024-08-28 19:06:43.594 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Economic perspectives on corporate social responsibility
2024-08-28 19:06:45.037 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Behavioral contract theory
2024-08-28 19:06:46.421 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for The devil is in the details: Implications of Samuel Bowles's The Moral Economy for economics and policy research
2024-08-28 19:06:47.813 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Tax compliance and enforcement
2024-08-28 19:06:48.740 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Why organizations fail: Models and cases
2024-08-28 19:06:51.238 | INFO     | src.scholar:search_google_scholar:133 - Found 11 results for journal Journal of Economic Literature
2024-08-28 19:06:51.239 | INFO     | __main__:main:20 - Processing journal Journal of Financial Economics, Elsevier
2024-08-28 19:06:53.920 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for CEO compensation: Evidence from the field
